,YEAR,MONTH,ELEM_VAL
0,1949,1,20
1,1949,2,130
2,1949,3,30
3,1949,4,42
4,1949,5,8
5,1949,6,58
6,1949,7,140
7,1949,8,204
8,1949,9, 
9,1949,10,92
10,1949,11,0
11,1949,12,153
12,1950,1,60
13,1950,2,74
14,1950,3,10
15,1950,4,70
16,1950,5,66
17,1950,6,145
18,1950,7,165
19,1950,8,90
20,1950,9,0
21,1950,10,24
22,1950,11,216
23,1950,12,15
24,1951,1,16
25,1951,2,8
26,1951,3,1
27,1951,4,53
28,1951,5,36
29,1951,6,0
30,1951,7,78
31,1951,8,90
32,1951,9,16
33,1951,10,23
34,1951,11,0
35,1951,12,42
36,1952,1,17
37,1952,2,1
38,1952,3,117
39,1952,4,202
40,1952,5,2
41,1952,6,63
42,1952,7,57
43,1952,8,18
44,1952,9,11
45,1952,10,60
46,1952,11,0
47,1952,12,0
48,1953,1,170
49,1953,2,151
50,1953,3,95
51,1953,4,0
52,1953,5,11
53,1953,6,145
54,1953,7,82
55,1953,8,24
56,1953,9,52
57,1953,10,96
58,1953,11,203
59,1953,12,243
60,1954,1,108
61,1954,2,459
62,1954,3,21
63,1954,4,240
64,1954,5,62
65,1954,6,329
66,1954,7,62
67,1954,8,37
68,1954,9,103
69,1954,10,113
70,1954,11, 
71,1954,12,316
72,1955,1,52
73,1955,2,24
74,1955,3,280
75,1955,4,22
76,1955,5,5
77,1955,6,1
78,1955,7,240
79,1955,8,166
80,1955,9,1048
81,1955,10,64
82,1955,11,29
83,1955,12,244
84,1956,1,479
85,1956,2,193
86,1956,3,26
87,1956,4,1
88,1956,5,92
89,1956,6,0
90,1956,7,204
91,1956,8,55
92,1956,9,153
93,1956,10,204
94,1956,11,205
95,1956,12,168
96,1957,1,280
97,1957,2,279
98,1957,3,110
99,1957,4,38
100,1957,5,23
101,1957,6,5
102,1957,7,8
103,1957,8,182
104,1957,9,87
105,1957,10,574
106,1957,11,70
107,1957,12,626
108,1958,1,433
109,1958,2,397
110,1958,3,451
111,1958,4,310
112,1958,5,64
113,1958,6,108
114,1958,7,98
115,1958,8,30
116,1958,9,30
117,1958,10,70
118,1958,11,93
119,1958,12,233
120,1959,1,69
121,1959,2,177
122,1959,3,53
123,1959,4,372
124,1959,5,46
125,1959,6,12
126,1959,7,51
127,1959,8,255
128,1959,9,82
129,1959,10,204
130,1959,11,276
131,1959,12,370
132,1960,1,652
133,1960,2,345
134,1960,3,113
135,1960,4,261
136,1960,5,62
137,1960,6,21
138,1960,7,73
139,1960,8,66
140,1960,9,413
141,1960,10,2
142,1960,11,50
143,1960,12,92
144,1961,1,110
145,1961,2,55
146,1961,3,86
147,1961,4,20
148,1961,5,12
149,1961,6,136
150,1961,7,12
151,1961,8,289
152,1961,9,79
153,1961,10,348
154,1961,11,200
155,1961,12,64
156,1962,1,97
157,1962,2,165
158,1962,3,1
159,1962,4,0
160,1962,5,25
161,1962,6,85
162,1962,7,29
163,1962,8,237
164,1962,9,0
165,1962,10,451
166,1962,11,152
167,1962,12,260
168,1963,1,57
169,1963,2,55
170,1963,3,302
171,1963,4,20
172,1963,5,196
173,1963,6,4
174,1963,7,65
175,1963,8,124
176,1963,9,56
177,1963,10,133
178,1963,11,65
179,1963,12,22
180,1964,1,30
181,1964,2,26
182,1964,3,168
183,1964,4,68
184,1964,5,19
185,1964,6,25
186,1964,7,51
187,1964,8,135
188,1964,9,64
189,1964,10,222
190,1964,11,161
191,1964,12,158
192,1965,1,69
193,1965,2,65
194,1965,3,5
195,1965,4,188
196,1965,5,0
197,1965,6,69
198,1965,7,46
199,1965,8,89
200,1965,9,90
201,1965,10,101
202,1965,11,50
203,1965,12,58
204,1966,1,44
205,1966,2,16
206,1966,3,43
207,1966,4,40
208,1966,5,13
209,1966,6,22
210,1966,7,260
211,1966,8,19
212,1966,9,108
213,1966,10,26
214,1966,11,10
215,1966,12,143
216,1967,1,11
217,1967,2,114
218,1967,3,30
219,1967,4,184
220,1967,5,1
221,1967,6,35
222,1967,7,0
223,1967,8,72
224,1967,9,141
225,1967,10,38
226,1967,11,298
227,1967,12,105
228,1968,1,172
229,1968,2,44
230,1968,3,91
231,1968,4,131
232,1968,5,0
233,1968,6,41
234,1968,7,15
235,1968,8,97
236,1968,9,221
237,1968,10,29
238,1968,11,124
239,1968,12,9
240,1969,1,17
241,1969,2,53
242,1969,3,95
243,1969,4,5
244,1969,5,0
245,1969,6,21
246,1969,7,231
247,1969,8,16
248,1969,9,38
249,1969,10,85
250,1969,11,21
251,1969,12,132
252,1970,1,129
253,1970,2,33
254,1970,3,238
255,1970,4,109
256,1970,5,52
257,1970,6,50
258,1970,7,279
259,1970,8,80
260,1970,9,214
261,1970,10,138
262,1970,11,54
263,1970,12,46
264,1971,1,78
265,1971,2,430
266,1971,3,36
267,1971,4,116
268,1971,5,94
269,1971,6,23
270,1971,7,56
271,1971,8,326
272,1971,9,143
273,1971,10,53
274,1971,11,8
275,1971,12,517
276,1972,1,161
277,1972,2,49
278,1972,3,194
279,1972,4,17
280,1972,5,11
281,1972,6,169
282,1972,7,359
283,1972,8,168
284,1972,9,111
285,1972,10,170
286,1972,11,255
287,1972,12,69
288,1973,1,61
289,1973,2,31
290,1973,3,24
291,1973,4,11
292,1973,5,45
293,1973,6,89
294,1973,7,59
295,1973,8,1
296,1973,9,102
297,1973,10,20
298,1973,11,52
299,1973,12,134
300,1974,1,537
301,1974,2,65
302,1974,3,163
303,1974,4,111
304,1974,5,20
305,1974,6,8
306,1974,7,392
307,1974,8,113
308,1974,9,32
309,1974,10,128
310,1974,11,214
311,1974,12,326
312,1975,1,7
313,1975,2,124
314,1975,3,71
315,1975,4,22
316,1975,5,28
317,1975,6,17
318,1975,7,72
319,1975,8,69
320,1975,9,50
321,1975,10,13
322,1975,11,255
323,1975,12,3
324,1976,1,61
325,1976,2,426
326,1976,3,184
327,1976,4,224
328,1976,5,77
329,1976,6,15
330,1976,7,56
331,1976,8,115
332,1976,9,1
333,1976,10,233
334,1976,11,77
335,1976,12,6
336,1977,1,50
