,YEAR,MONTH,ELEM_VAL
0,1890,1,60
1,1890,2,54
2,1890,3,45
3,1890,4,53
4,1890,5,50
5,1890,6,48
6,1890,7,57
7,1890,8,61
8,1890,9,53
9,1890,10,54
10,1890,11,64
11,1890,12,62
12,1891,1,58
13,1891,2,46
14,1891,3,56
15,1891,4,57
16,1891,5,51
17,1891,6,46
18,1891,7,66
19,1891,8,50
20,1891,9,53
21,1891,10,60
22,1891,11,46
23,1891,12,46
24,1892,1,44
25,1892,2,52
26,1892,3,53
27,1892,4,51
28,1892,5,56
29,1892,6,42
30,1892,7,50
31,1892,8,59
32,1892,9,62
33,1892,10,53
34,1892,11,67
35,1892,12,52
36,1893,1,50
37,1893,2,50
38,1893,3,55
39,1893,4,53
40,1893,5,55
41,1893,6,54
42,1893,7,50
43,1893,8,54
44,1893,9,53
45,1893,10,58
46,1893,11,66
47,1893,12,56
48,1894,1,56
49,1894,2,46
50,1894,3,36
51,1894,4,49
52,1894,5,68
53,1894,6,58
54,1894,7,47
55,1894,8,61
56,1894,9,64
57,1894,10,57
58,1894,11,48
59,1894,12,54
60,1895,1,58
61,1895,2,54
62,1895,3,51
63,1895,4,57
64,1895,5,57
65,1895,6,68
66,1895,7,59
67,1895,8,46
68,1895,9,52
69,1895,10,55
70,1895,11,65
71,1895,12,60
72,1896,1,52
73,1896,2,36
74,1896,3,45
75,1896,4,43
76,1896,5,54
77,1896,6,56
78,1896,7,54
79,1896,8,54
80,1896,9,51
81,1896,10,63
82,1896,11,64
83,1896,12,54
84,1897,1,50
85,1897,2,34
86,1897,3,35
87,1897,4,56
88,1897,5,50
89,1897,6,44
90,1897,7,46
91,1897,8,41
92,1897,9,60
93,1897,10,61
94,1897,11,58
95,1897,12,56
96,1898,1,52
97,1898,2,50
98,1898,3,55
99,1898,4,52
100,1898,5,60
101,1898,6,61
102,1898,7,72
103,1898,8,68
104,1898,9,69
105,1898,10,73
106,1898,11,74
107,1898,12,50
108,1899,1,58
109,1899,2,46
110,1899,3,56
111,1899,4,60
112,1899,5,66
113,1899,6,60
114,1899,7,60
115,1899,8,59
116,1899,9,75
117,1899,10,75
118,1899,11,77
119,1899,12,74
120,1900,1,64
121,1900,2,50
122,1900,3,73
123,1900,4,75
124,1900,5,58
125,1900,6,52
126,1900,7,55
127,1900,8,68
128,1900,9,79
129,1900,10,78
130,1900,11,70
131,1900,12,54
132,1901,1,54
133,1901,2,76
134,1901,3,68
135,1901,4,75
136,1901,5,63
137,1901,6,64
138,1901,7,63
139,1901,8,57
140,1901,9,56
141,1901,10,55
142,1901,11,69
143,1901,12,68
144,1902,1,58
145,1902,2,48
146,1902,3,58
147,1902,4,54
148,1902,5,65
149,1902,6,54
150,1902,7,70
151,1902,8,70
152,1902,9,76
153,1902,10,60
154,1902,11,55
155,1902,12,70
156,1903,1,50
157,1903,2,66
158,1903,3,59
159,1903,4,57
160,1903,5,73
161,1903,6,73
162,1903,7,54
163,1903,8,54
164,1903,9,57
165,1903,10,58
166,1903,11,62
167,1903,12,52
168,1904,1,62
169,1904,2,56
170,1904,3,55
171,1904,4,65
172,1904,5,56
173,1904,6,48
174,1904,7,64
175,1904,8,48
176,1904,9,67
177,1904,10,60
178,1904,11,71
179,1904,12,60
180,1905,1,58
181,1905,2,64
182,1905,3,67
183,1905,4,49
184,1905,5,59
185,1905,6,61
186,1905,7,50
187,1905,8,57
188,1905,9,66
189,1905,10,74
190,1905,11,69
191,1905,12,62
192,1906,1,56
193,1906,2,60
194,1906,3,55
195,1906,4,60
196,1906,5,51
197,1906,6,63
198,1906,7,42
199,1906,8,41
200,1906,9,49
201,1906,10,71
202,1906,11,69
203,1906,12,56
204,1907,1,62
205,1907,2,60
206,1907,3,50
207,1907,4,50
208,1907,5,44
209,1907,6,51
210,1907,7,46
211,1907,8,57
212,1907,9,65
213,1907,10,67
214,1907,11,57
215,1907,12,58
216,1908,1,54
217,1908,2,56
218,1908,3,60
219,1908,4,67
220,1908,5,63
221,1908,6,53
222,1908,7,54
223,1908,8,60
224,1908,9,73
225,1908,10,68
226,1908,11,52
227,1908,12,60
228,1909,1,50
229,1909,2,52
230,1909,3,46
231,1909,4,63
232,1909,5,51
233,1909,6,59
234,1909,7,48
235,1909,8,60
236,1909,9,73
237,1909,10,48
238,1909,11,63
239,1909,12,62
240,1910,1,44
241,1910,2,56
242,1910,3,52
243,1910,4,72
244,1910,5,63
245,1910,6,67
246,1910,7,66
247,1910,8,44
248,1910,9,71
249,1910,10,83
250,1910,11,46
251,1910,12,68
252,1911,1,62
253,1911,2,52
254,1911,3,71
255,1911,4,64
256,1911,5,71
257,1911,6,70
258,1911,7,54
259,1911,8,46
260,1911,9,65
261,1911,10,76
262,1911,11,59
263,1911,12,74
264,1912,1,66
265,1912,2,54
266,1912,3,66
267,1912,4,74
268,1912,5,73
269,1912,6,58
270,1912,7,79
271,1912,8,63
272,1912,9,69
273,1912,10,67
274,1912,11,78
275,1912,12,68
276,1913,1,78
277,1913,2,60
278,1913,3,71
279,1913,4,66
280,1913,5,60
281,1913,6,48
282,1913,7,49
283,1913,8,67
284,1913,9,69
285,1913,10,74
286,1913,11,70
287,1913,12,64
288,1914,1,70
289,1914,2,42
290,1914,3,50
291,1914,4,62
292,1914,5,72
293,1914,6,63
294,1914,7,60
295,1914,8,58
296,1914,9,61
297,1914,10,67
298,1914,11,62
299,1914,12,72
300,1915,1,72
301,1915,2,38
302,1915,3,49
303,1915,4,69
304,1915,5,66
305,1915,6,61
306,1915,7,67
307,1915,8,59
308,1915,9,47
309,1915,10,44
310,1915,11,56
311,1915,12,44
312,1916,1,44
313,1916,2,52
314,1916,3,48
315,1916,4,44
316,1916,5,53
317,1916,6,68
318,1916,7,49
319,1916,8,43
320,1916,9,51
321,1916,10,66
