,YEAR,MONTH,ELEM_VAL
0,1961,1,43.76
1,1961,2,19.15178571
2,1961,3,17.31451613
3,1961,4,20.89166667
4,1961,5,29.83870968
5,1961,6,26.13333333
6,1961,7,28.83064516
7,1961,8,25.78832117
8,1961,9,30.89385475
9,1961,10,35.8655914
10,1961,11,53.59444444
11,1961,12,44.94623656
12,1962,1,58.52688172
13,1962,2,55.9047619
14,1962,3,43.24193548
15,1962,4,40.61111111
16,1962,5,31.64324324
17,1962,6,27.66111111
18,1962,7,24.96756757
19,1962,8,24.20967742
20,1962,9,25.7
21,1962,10,38.49462366
22,1962,11,59.84916201
23,1962,12,52.7688172
24,1963,1,62.16666667
25,1963,2,54.19642857
26,1963,3,31.3027027
27,1963,4,42.41011236
28,1963,5,33.31891892
29,1963,6,23.71590909
30,1963,7,20.8972973
31,1963,8,26.88648649
32,1963,9,34.30555556
33,1963,10,42.55434783
34,1963,11,42.54444444
35,1963,12,42.29189189
36,1964,1,41.24193548
37,1964,2,43.38372093
38,1964,3,28.98924731
39,1964,4,21.56111111
40,1964,5,23.22043011
41,1964,6,26.67039106
42,1964,7,27.06451613
43,1964,8,22.33333333
44,1964,9,34.06111111
45,1964,10,34.68817204
46,1964,11,49.24157303
47,1964,12,62.96236559
48,1965,1,58.54891304
49,1965,2,55.66071429
50,1965,3,31.37837838
51,1965,4,33.53370787
52,1965,5,31.11891892
53,1965,6,25.96089385
54,1965,7,12.81182796
55,1965,8,23.04301075
56,1965,9,29.55
57,1965,10,35.09677419
58,1965,11,53.17877095
59,1965,12,33.91891892
60,1966,1,26.90374332
61,1966,2,36.46706587
62,1966,3,22.8125
63,1966,4,20.47567568
64,1966,5,20.21354167
65,1966,6,25.49456522
66,1966,7,20.1242236
67,1966,8,12.97183099
68,1966,9,29.21167883
69,1966,10,33.89285714
70,1966,11,66.10144928
71,1966,12,52.65714286
72,1967,1,41.4028777
73,1967,2,35.3203125
74,1967,3,30.69402985
75,1967,4,36.35338346
76,1967,5,23.59558824
77,1967,6,28.17391304
78,1967,7,19.38571429
79,1967,8,21.56643357
80,1967,9,28.11678832
81,1967,10,35.31428571
82,1967,11,60.41304348
83,1967,12,56.16296296
84,1968,1,32.74820144
85,1968,2,41.45864662
86,1968,3,23.5106383
87,1968,4,23.90441176
88,1968,5,22.15384615
89,1968,6,19.69565217
90,1968,7,24.57142857
91,1968,8,23.28571429
92,1968,9,22.82857143
93,1968,10,24.94557823
94,1968,11,39.3943662
95,1968,12,33.78832117
96,1969,1,43.15172414
97,1969,2,35.99242424
98,1969,3,26.29166667
99,1969,4,35.18382353
100,1969,5,26.4751773
101,1969,6,30.61870504
102,1969,7,18
103,1969,8,14.44827586
104,1969,9,34.21830986
105,1969,10,36.42857143
106,1969,11,51.62857143
107,1969,12,38.29496403
108,1970,1,21.3862069
109,1970,2,59.4469697
110,1970,3,24.50359712
111,1970,4,37.75714286
112,1970,5,24.78723404
113,1970,6,26.17730496
114,1970,7,19.95918367
115,1970,8,21.40689655
116,1970,9,36.05633803
117,1970,10,31.97959184
118,1970,11,51.53571429
119,1970,12,49.82733813
120,1971,1,36.81021898
121,1971,2,26.83333333
122,1971,3,10.16216216
123,1971,4,15.92647059
124,1971,5,27.01438849
125,1971,6,19.17021277
126,1971,7,19.88435374
127,1971,8,25.94482759
128,1971,9,30.12676056
129,1971,10,31.37931034
130,1971,11,43.65492958
131,1971,12,44.72340426
132,1972,1,39.52112676
133,1972,2,40.05839416
134,1972,3,34.11702128
135,1972,4,31.34920635
136,1972,5,31.58741259
137,1972,6,24.24113475
138,1972,7,14.08965517
139,1972,8,21.95205479
140,1972,9,32.26760563
141,1972,10,44.13793103
142,1972,11,43.5915493
143,1972,12,52.87943262
144,1973,1,42.81944444
145,1973,2,33.46969697
146,1973,3,22.06206897
147,1973,4,22.31343284
148,1973,5,23.20863309
149,1973,6,24.07971014
150,1973,7,19.44137931
151,1973,8,12.55782313
152,1973,9,21.81481481
153,1973,10,25.45578231
154,1973,11,34.63309353
155,1973,12,46.44852941
156,1974,1,30.65517241
157,1974,2,30.96212121
158,1974,3,31.39310345
159,1974,4,28.53676471
160,1974,5,21.48251748
161,1974,6,22.50364964
162,1974,7,17.11564626
163,1974,8,13.72789116
164,1974,9,30.45
165,1974,10,23.82312925
166,1974,11,41.45070423
167,1974,12,54.51824818
168,1975,1,38.58333333
169,1975,2,23.71212121
170,1975,3,17.49166667
171,1975,4,18.04379562
172,1975,5,20.25874126
173,1975,6,19.16428571
174,1975,7,22.65986395
175,1975,8,17.12413793
176,1975,9,28.70422535
177,1975,10,27.72108844
178,1975,11,35.3381295
179,1975,12,53.11510791
180,1976,1,33.67361111
181,1976,2,26.60740741
182,1976,3,25.07432432
183,1976,4,15.38970588
184,1976,5,26.13669065
185,1976,6,18.9270073
186,1976,7,19.46296296
187,1976,8,21.03448276
188,1976,9,22.37323944
189,1976,10,26.85314685
190,1976,11,29.9858156
191,1976,12,46.27737226
192,1977,1,33.59701493
193,1977,2,32.2519084
194,1977,3,12.34722222
195,1977,4,12.46666667
196,1977,5,19.9270073
197,1977,6,16.92857143
198,1977,7,16.55244755
199,1977,8,19.64383562
200,1977,9,22.16176471
201,1977,10,20.56944444
202,1977,11,36.84507042
203,1977,12,51.32142857
204,1978,1,37.91666667
205,1978,2,19.92424242
206,1978,3,18.09917355
207,1978,4,23.03030303
208,1978,5,24.75524476
209,1978,6,20.4964539
210,1978,7,19.17241379
211,1978,8,22.24489796
212,1978,9,21.47887324
213,1978,10,40.69444444
214,1978,11,41.30985915
215,1978,12,43.33333333
216,1979,1,38.88888889
217,1979,2,30.75757576
218,1979,3,42.5170068
219,1979,4,23.17460317
220,1979,5,19.46969697
221,1979,6,21.1627907
222,1979,7,20.65693431
223,1979,8,18.63309353
224,1979,9,14.89230769
225,1979,10,23.38129496
226,1979,11,30.59701493
227,1979,12,31.96850394
228,1980,1,38.75
229,1980,2,27.6744186
230,1980,3,28.28358209
231,1980,4,29.32432432
232,1980,5,17.5
233,1980,6,18
234,1980,7,16.59340659
235,1980,8,17.36842105
236,1980,9,11.55172414
237,1980,10,24.53608247
238,1980,11,30.94871795
239,1980,12,35.95419847
240,1981,1,30.44776119
241,1981,2,26.2601626
242,1981,3,14.74074074
243,1981,4,16.51376147
244,1981,5,23.75
245,1981,6,18.81818182
246,1981,7,21.02564103
247,1981,8,13.77192982
248,1981,9,21.47826087
249,1981,10,27.59124088
250,1981,11,39.17424242
251,1981,12,46.63157895
252,1982,1,33.7480916
253,1982,2,17.33870968
254,1982,3,15.77777778
255,1982,4,19.5412844
256,1982,5,21.11111111
257,1982,6,16.875
258,1982,7,21.56521739
259,1982,8,19.73913043
260,1982,9,24.12280702
261,1982,10,26.74074074
262,1982,11,36.40350877
263,1982,12,34.64912281
264,1983,1,9.534883721
265,1983,2,13.36842105
266,1983,3,13.13043478
267,1983,4,15.74074074
268,1983,5,20.53097345
269,1983,6,27.86607143
270,1983,7,22.71929825
271,1983,8,23.96551724
272,1983,9,20.53571429
273,1983,10,29.73684211
274,1983,11,26.3963964
275,1983,12,28.84955752
276,1984,1,15.98245614
277,1984,2,7.666666667
278,1984,3,18.91891892
279,1984,4,11.66666667
280,1984,5,19.9122807
281,1984,6,18.16513761
282,1984,7,18.7826087
283,1984,8,26.69565217
284,1984,9,18.45454545
285,1984,10,24.48275862
286,1984,11,37.76785714
287,1984,12,40.64814815
288,1985,1,39.20175439
289,1985,2,15.44117647
290,1985,3,25.66666667
291,1985,4,24.09345794
292,1985,5,26.47272727
293,1985,6,25.4587156
294,1985,7,18.40517241
295,1985,8,14.61061947
296,1985,9,20.89189189
297,1985,10,23.34482759
298,1985,11,36.24299065
299,1985,12,41.17272727
300,1986,1,41.00884956
301,1986,2,43.24271845
302,1986,3,29.4587156
303,1986,4,20.27272727
304,1986,5,24.86607143
305,1986,6,22.25688073
306,1986,7,17.18103448
307,1986,8,20.1754386
308,1986,9,18.11607143
309,1986,10,24.64655172
310,1986,11,23.17431193
311,1986,12,35.16964286
312,1987,1,31.43243243
313,1987,2,16.55555556
314,1987,3,27.04285714
315,1987,4,9.931034483
316,1987,5,20.27956989
317,1987,6,16.43529412
318,1987,7,17.01111111
319,1987,8,15.01149425
320,1987,9,15.66666667
321,1987,10,23.85714286
322,1987,11,29.21111111
323,1987,12,12.78494624
324,1988,1,20.07777778
325,1988,2,40.3
326,1988,3,16.24731183
327,1988,4,16.10465116
328,1988,5,22.67777778
329,1988,6,21.4137931
330,1988,7,16.46666667
331,1988,8,22.09677419
332,1988,9,16.47777778
333,1988,10,25.58064516
334,1988,11,25.40909091
335,1988,12,37.41935484
336,1989,1,21.21111111
337,1989,2,11.72727273
338,1989,3,15.125
339,1989,4,19.10588235
340,1989,5,21.61956522
341,1989,6,17.39325843
342,1989,7,14.19354839
343,1989,8,11.33695652
344,1989,9,20.8
345,1989,10,14.86021505
346,1989,11,40.15555556
347,1989,12,33.20430108
348,1990,1,20.05555556
349,1990,2,21.76363636
350,1990,3,23
351,1990,4,37.65517241
352,1990,5,21.40449438
353,1990,6,28.64705882
354,1990,7,21.40659341
355,1990,8,20.56989247
356,1990,9,29.02272727
357,1990,10,29.71111111
358,1990,11,32.7625
359,1990,12,37.43835616
360,1991,1,25.31325301
361,1991,2,32.43055556
362,1991,3,33.98901099
363,1991,4,21.93181818
364,1991,5,27.4
365,1991,6,23.31111111
366,1991,7,22.89010989
367,1991,8,25.05178571
368,1991,9,24.11888832
369,1991,10,41.87912088
370,1991,11,51.82590326
371,1991,12,53.89964184
372,1992,1,46.86951842
373,1992,2,25.37013603
374,1992,3,16.68914984
375,1992,4,27.7790436
376,1992,5,23.46379806
377,1992,6,21.39592253
378,1992,7,19.95627321
379,1992,8,22.57142857
380,1992,9,40.70673077
381,1992,10,45.99568966
382,1992,11,60.64135021
383,1992,12,63.44897959
384,1993,1,42.94711538
385,1993,2,40.98324022
386,1993,3,23.41921397
387,1993,4,31.53744493
388,1993,5,27.24087591
389,1993,6,28.35135135
390,1993,7,20.43347639
391,1993,8,29.20614035
392,1993,9,41.41004184
393,1993,10,41.58064516
394,1993,11,59.28033473
395,1993,12,53.77419355
396,1994,1,32.11740891
397,1994,2,39.04035874
398,1994,3,22.16935484
399,1994,4,24.16386555
400,1994,5,27.06048387
401,1994,6,30.73221757
402,1994,7,24.06477733
403,1994,8,28.7375
404,1994,9,26.2875
405,1994,10,28.09274194
406,1994,11,54.07949791
407,1994,12,62.31854839
408,1995,1,30.63598326
409,1995,2,17.68609865
410,1995,3,22.96774194
411,1995,4,33.175
412,1995,5,26.46774194
413,1995,6,39.12444444
414,1995,7,25.5465587
415,1995,8,29.91129032
416,1995,9,50.87735849
417,1995,10,46.48275862
418,1995,11,54.40416667
419,1995,12,46.13513514
420,1996,1,58.4516129
421,1996,2,40.94396552
422,1996,3,33.46963563
423,1996,4,21.43933054
424,1996,5,29.2983871
425,1996,6,27.54811715
426,1996,7,22.70445344
427,1996,8,16.99173554
428,1996,9,28.37931034
429,1996,10,39.93939394
430,1996,11,61.04166667
431,1996,12,69.80241935
432,1997,1,69.46541787
433,1997,2,41.49180328
434,1997,3,39.72347826
435,1997,4,27.07647059
436,1997,5,26.49297753
437,1997,6,34.3907563
438,1997,7,23.05698779
439,1997,8,28.14937759
440,1997,9,38.63729809
