,Central,Distance,NAME
0,5,42.91474424626454,04216 Ilulissat
1,5,43.17600235513259,04221 Mitt. Ilulissat
2,4,5.815009538026818,04270 Mitt. Narsarsuaq
3,4,6.227786999219366,04271 Narsarsuaq Radisonde
4,1,17.553893448413664,04320 Danmarkshavn
5,2,12.951586448594929,04339 Ittoqqortoormiit_1
6,2,12.951586448594929,04339 Ittoqqortoormiit
7,2,16.69238140983548,04340 Uunarteq_1
8,2,16.69238140983548,04340 Uunarteq
9,2,24.48228793550789,04341 Mitt. Nerlerit Inaat
10,3,15.174845716860473,04360 Tasiilaq
11,3,15.36176751807218,04360 Tasiilaq_2
12,3,15.36176751807218,04360 Tasiilaq_3
13,3,24.536448796485253,04361 Mitt. Kulusuk
14,3,27.18159153206616,04365 DYE 4
15,4,5.815009538026818,34270 Narsarsuaq
16,1,17.553893448413664,34320 Danmarkshavn
