,year,5,6,7,8,9,10,11,12,1,2,3,4
0,1972,1116,84,738,2227,811,205,2152,220,452,984,1232,248
1,1973,509,1317,438,1462,1015,1579,138,136,312,717,256,830
2,1974,177,627,1432,355,1252,560,171,1514,185,632,316,69
3,1975,48,9,512,612,445,1365,263,422,73,106,540,1381
4,1976,377,800,2185,1002,1490,345,1860,5053,406,512,313,2095
5,1977,196,312,332,2915,2232,840,126,491,296,29,225,413
6,1978,461,1612,1288,80,343,529,1742,2418,684,22,224,495
7,1979,267,1293,689,1910,558,2531,776,241,957,171,639,539
8,1980,718,1254,642,189,1106,4,151,1278,343,76,383,1719
9,1981,304,1125,270,73,262,351,695,527,1493,907,198,1594
10,1982,833,979,1320,599,70,743,218,217,344,22,254,1156
11,1983,142,137,1712,1049,555,355,379,731,862,2604,1589,1130
12,1984,631,1845,1490,1862,1585,931,949,300,1152,86,905,301
13,1985,2086,420,1106,3185,331,118,144,895,204,118,106,319
14,1986,78,740,249,356,606,589,305,89,553,249,245,1081
15,1987,809,1240,425,573,870,233,249,959,731,85,137,280
16,1988,2368,592,1378,649,242,1785,1943,338,550,964,686,192
17,1989,485,1407,825,1428,769,602,118,1227,563,243,393,24
18,1990,651,1236,1995,631,2958,1372,761,189,109,389,492,1249
19,1991,1058,693,191,1630,3535,1107,1076,734,528,324,949,295
20,1992,1297,228,353,1171,642,2196,774,492,1464,177,1771,361
21,1993,712,1257,2,217,1214,2004,845,123,441,3734,636,967
22,1994,392,306,916,1974,1708,1454,379,671,311,129,167,43
23,1995,652,1250,616,1779,1299,1265,369,256,86,155,234,321
24,1996,55,1268,621,853,1579,1174,2428,262,2487,1561,505,372
25,1997,518,914,997,1812,927,815,1196,796,1192,231,251,1709
26,1998,992,1455,1129,382,3304,1867,1076,805,204,915,1702,389
27,1999,698,84,784,1345,175,417,448,319,316,1057,331,2207
28,2000,175,1668,1348,1588,211,554,1697,358,1298,100,839,886
29,2001,485,37,663,739,882,580,385,59,406,397,1,315
30,2002,330,843,379,769,2111,696,1946,396,482,648,1570,135
31,2003,82,575,1118,554,725,183,24,448,758,101,544,431
32,2004,222,722,784,1342,1385,2646,207,1065,45,1365,781,822
33,2005,288,681,2755,472,453,294,1151,903,1279,1861,535,636
34,2006,1328,724,1024,761,618,315,994,2822,289,294,137,930
35,2007,134,1681,291,1809,869,139,442,214,625,613,202,398
36,2008,146,245,752,1464,1474,155,1942,107,238,626,260,176
