,year,month,wind
0,1971,5,27.7016129
1,1971,6,36.07083333
2,1971,7,25.57489879
3,1971,8,29.59274194
4,1971,9,40.875
5,1971,10,28.33064516
6,1971,11,26.325
7,1971,12,23.74193548
8,1972,1,27.85483871
9,1972,2,52.77586207
10,1972,3,27.18145161
11,1972,4,40.71666667
12,1972,5,33.41532258
13,1972,6,25.65833333
14,1972,7,26.68145161
15,1972,8,34.23387097
16,1972,9,26.85416667
17,1972,10,25.65322581
18,1972,11,33.18333333
19,1972,12,29.74596774
20,1973,1,28.31854839
21,1973,2,36.43303571
22,1973,3,22.30241935
23,1973,4,29.5875
24,1973,5,27.64919355
25,1973,6,32.72083333
26,1973,7,24.10931174
27,1973,8,25.5
28,1973,9,28.44166667
29,1973,10,22.80161943
30,1973,11,53.31380753
31,1973,12,34.94758065
32,1974,1,16.37903226
33,1974,2,51.66071429
34,1974,3,52.39516129
35,1974,4,38.63333333
36,1974,5,41.30241935
37,1974,6,29
38,1974,7,36.40243902
39,1974,8,27.04435484
40,1974,9,19.17916667
41,1974,10,39.04048583
42,1974,11,28.83263598
43,1974,12,8.610655738
44,1975,1,24.12903226
45,1975,2,64.47767857
46,1975,3,29.65322581
47,1975,4,26.58333333
48,1975,5,50.49382716
49,1975,6,36.30801688
50,1975,7,25.81048387
51,1975,8,21.18442623
52,1975,9,18.99166667
53,1975,10,45.82258065
54,1975,11,34.49583333
55,1975,12,30.36290323
56,1976,1,50.34008097
57,1976,2,26.0387931
58,1976,3,34.55241935
59,1976,4,30.47916667
60,1976,5,26.95528455
61,1976,6,33.09623431
62,1976,7,21.68831169
63,1976,8,23.90725806
64,1976,9,27.27102804
65,1976,10,28.79255319
66,1976,11,54.31666667
67,1976,12,61.47177419
68,1977,1,72.43951613
69,1977,2,66.99107143
70,1977,3,31.33064516
71,1977,4,42.875
72,1977,5,43.87096774
73,1977,6,19.47083333
74,1977,7,33.78225806
75,1977,8,39.53225806
76,1977,9,40.95670996
77,1977,10,13.60887097
78,1977,11,30
79,1977,12,24.69635628
80,1978,1,32.53112033
81,1978,2,54.61538462
82,1978,3,37.42738589
83,1978,4,38.82845188
84,1978,5,38.65853659
85,1978,6,33.26271186
86,1978,7,29.67346939
87,1978,8,34.15322581
88,1978,9,40.675
89,1978,10,34.75806452
90,1978,11,34.72340426
91,1978,12,75.18828452
92,1979,1,44.22131148
93,1979,2,66.5158371
94,1979,3,26.12875536
95,1979,4,45.17391304
96,1979,5,32.5974026
97,1979,6,31.13924051
98,1979,7,29.31451613
99,1979,8,28.14814815
100,1979,9,42.76595745
101,1979,10,36.47773279
102,1979,11,21.9665272
103,1979,12,30.36585366
104,1980,1,77.36625514
