,year,5,6,7,8,9,10,11,12,1,2,3,4
0,1959,64.0,108.0,98.0,30.0,30.0,70.0,93.0,233.0,42.0,204.0,33.0,392.0
1,1960,46.0,12.0,46.0,260.0,82.0,204.0,276.0,328.0,694.0,345.0,113.0,261.0
2,1961,62.0,21.0,73.0,66.0,413.0,0.0,52.0,92.0,110.0,55.0,86.0,20.0
3,1962,12.0,136.0,12.0,289.0,79.0,348.0,200.0,64.0,91.0,171.0,1.0,0.0
4,1963,25.0,85.0,29.0,237.0,0.0,451.0,152.0,260.0,57.0,55.0,302.0,20.0
5,1964,196.0,4.0,65.0,124.0,56.0,133.0,65.0,22.0,30.0,26.0,168.0,68.0
6,1965,19.0,25.0,51.0,135.0,64.0,222.0,155.0,164.0,69.0,65.0,5.0,188.0
7,1966,0.0,64.0,51.0,87.0,92.0,101.0,50.0,58.0,44.0,16.0,43.0,40.0
8,1967,13.0,22.0,260.0,19.0,105.0,29.0,10.0,143.0,11.0,140.0,47.0,284.0
9,1968,1.0,43.0,0.0,119.0,184.0,54.0,448.0,147.0,238.0,47.0,125.0,184.0
10,1969,0.0,70.0,16.0,134.0,347.0,37.0,197.0,12.0,19.0,65.0,124.0,5.0
11,1970,0.0,27.0,302.0,20.0,64.0,115.0,36.0,220.0,225.0,56.0,365.0,154.0
12,1971,81.0,98.0,352.0,176.0,363.0,215.0,91.0,58.0,136.0,612.0,97.0,180.0
13,1972,120.0,39.0,82.0,347.0,363.0,87.0,11.0,784.0,219.0,79.0,291.0,25.0
14,1973,11.0,259.0,479.0,235.0,178.0,262.0,313.0,164.0,95.0,55.0,33.0,14.0
15,1974,70.0,146.0,67.0,3.0,228.0,24.0,46.0,221.0,818.0,85.0,264.0,156.0
16,1975,31.0,8.0,659.0,233.0,62.0,182.0,278.0,590.0,10.0,247.0,98.0,37.0
17,1976,46.0,30.0,106.0,86.0,71.0,28.0,389.0,6.0,100.0,812.0,258.0,367.0
18,1977,111.0,22.0,97.0,167.0,2.0,370.0,102.0,14.0,141.0,12.0,99.0,19.0
19,1978,73.0,173.0,147.0,321.0,108.0,175.0,175.0,528.0,56.0,16.0,356.0,40.0
20,1979,228.0,297.0,112.0,25.0,25.0,240.0,211.0,15.0,245.0,340.0,474.0,25.0
21,1980,6.0,58.0,484.0,550.0,204.0,340.0,551.0,183.0,296.0,70.0,615.0,193.0
22,1981,128.0,33.0,5.0,294.0,335.0,17.0,59.0,125.0,18.0,308.0,37.0,275.0
23,1983,60.0,22.0,178.0,359.0,65.0,338.0,77.0,46.0,423.0,174.0,372.0,111.0
24,1984,34.0,92.0,533.0,448.0,103.0,14.0,57.0,57.0,243.0,294.0,290.0,235.0
25,1985,213.0,3.0,430.0,615.0,183.0,71.0,251.0,542.0,95.0,451.0,150.0,8.0
26,1986,85.0,6.0,326.0,7.0,41.0,118.0,153.0,32.0,183.0,52.0,245.0,84.0
27,1987,49.0,22.0,653.0,20.0,228.0,246.0,50.0,421.0,64.0,271.0,184.0,239.0
28,1988,4.0,27.0,23.0,69.0,30.0,37.0,60.0,86.0,53.0,228.0,15.0,6.0
29,1989,59.0,346.0,15.0,51.0,32.0,37.0,469.0,55.0,54.0,115.0,388.0,148.0
30,1990,147.0,61.0,67.0,46.0,264.0,101.0,59.0,211.0,402.0,135.0,239.0,380.0
31,1991,4.0,22.0,122.0,637.0,448.0,92.0,8.0,947.0,543.0,204.0,133.0,238.0
32,1992,89.0,0.0,120.0,211.0,623.0,262.0,1205.0,317.0,941.0,582.0,29.0,594.0
33,1993,92.0,234.0,4.0,49.0,164.0,182.0,336.0,195.0,115.0,202.0,364.0,273.0
34,1994,67.0,216.0,349.0,719.0,149.0,63.0,701.0,90.0,334.0,537.0,502.0,224.0
35,1995,131.0,67.0,49.0,90.0,16.0,457.0,435.0,415.0,169.0,133.0,488.0,47.0
36,1996,6.0,0.0,170.0,84.0,196.0,213.0,55.0,316.0,514.0,135.0,305.0,43.0
37,1997,86.0,108.0,35.0,89.0,568.0,210.0,165.0,35.0,92.0,517.0,106.0,125.0
38,1998,0.0,13.0,459.0,425.0,413.0,193.0,151.0,515.0,156.0,272.0,625.0,57.0
39,1999,126.0,0.0,571.0,796.0,152.0,296.0,426.0,67.0,351.0,727.0,338.0,38.0
40,2000,164.0,90.0,276.0,166.0,224.0,103.0,280.0,123.0,176.0,410.0,86.0,40.0
41,2001,71.0,29.0,281.0,57.0,150.0,513.0,57.0,23.0,191.0,114.0,266.0,19.0
42,2002,8.0,43.0,248.0,389.0,140.0,249.0,269.0,331.0,219.0,364.0,105.0,493.0
43,2003,118.0,72.0,150.0,387.0,33.0,78.0,29.0,579.0,225.0,324.0,189.0,165.0
44,2004,16.0,0.0,66.0,66.0,39.0,157.0,282.0,59.0,189.0,79.0,299.0,567.0
45,2005,63.0,8.0,485.0,11.0,465.0,20.0,92.0,351.0,148.0,181.0,71.0,173.0
46,2006,307.0,141.0,171.0,2.0,57.0,93.0,300.0,781.0,1260.0,274.0,424.0,680.0
47,2007,78.0,11.0,503.0,228.0,110.0,135.0,96.0,46.0,298.0,310.0,219.0,76.0
48,2008,4.0,0.0,47.0,329.0,59.0,57.0,238.0,405.0,437.0,762.0,341.0,74.0
49,2009,9.0,64.0,2.0,157.0,482.0,7.0,94.0,,270.0,97.0,56.0,25.0
50,2010,202.0,86.0,422.0,51.0,227.0,80.0,86.0,231.0,61.0,0.0,73.0,197.0
51,2011,84.0,3.0,0.0,39.0,105.0,173.0,0.0,78.0,144.0,241.0,482.0,321.0
52,2012,108.0,0.0,62.0,430.0,52.0,278.0,230.0,187.0,580.0,312.0,614.0,1.0
53,2013,42.0,0.0,32.0,50.0,52.0,128.0,71.0,5.0,160.0,19.0,63.0,2.0
