,year,month,cloud_mean(index)
0,1971,5,5.5
1,1971,6,5.2125
2,1971,7,5.530364372
3,1971,8,5.790322581
4,1971,9,5.1875
5,1971,10,4.725806452
6,1971,11,5.108333333
7,1971,12,4.076612903
8,1972,1,5.443548387
9,1972,2,4.767241379
10,1972,3,4.25
11,1972,4,3.908333333
12,1972,5,5.423387097
13,1972,6,5.3
14,1972,7,5.048387097
15,1972,8,5.096774194
16,1972,9,6.225
17,1972,10,5.524193548
18,1972,11,4.225
19,1972,12,4.55465587
20,1973,1,5.262096774
21,1973,2,4.964285714
22,1973,3,4.443548387
23,1973,4,5.5875
24,1973,5,5.201612903
25,1973,6,5.1375
26,1973,7,6.412955466
27,1973,8,4.923387097
28,1973,9,5.925
29,1973,10,4.133603239
30,1973,11,5.276150628
31,1973,12,5.983870968
32,1974,1,4.670731707
33,1974,2,4
34,1974,3,5.709677419
35,1974,4,5.258333333
36,1974,5,4.657258065
37,1974,6,4.474789916
38,1974,7,4.853061224
39,1974,8,5.266129032
40,1974,9,5.6875
41,1974,10,6.064777328
42,1974,11,4.521008403
43,1974,12,2.595041322
44,1975,1,4.298387097
45,1975,2,5.263392857
46,1975,3,5.838709677
47,1975,4,5.616666667
48,1975,5,5.185950413
49,1975,6,6.050632911
50,1975,7,5.762096774
51,1975,8,5.87704918
52,1975,9,5.585774059
53,1975,10,5.225806452
54,1975,11,4.954166667
55,1975,12,6.100806452
56,1976,1,5.163265306
57,1976,2,4.788793103
58,1976,3,4.564516129
59,1976,4,5.705882353
60,1976,5,4.824489796
61,1976,6,5.101265823
62,1976,7,5.354978355
63,1976,8,5.898373984
64,1976,9,6.099056604
65,1976,10,4.468085106
66,1976,11,4.537815126
67,1976,12,5.125
68,1977,1,4.814516129
69,1977,2,4.067264574
70,1977,3,5.294354839
71,1977,4,4.962025316
72,1977,5,5.036585366
73,1977,6,5.359832636
74,1977,7,5.27016129
75,1977,8,4.655870445
76,1977,9,4.134199134
77,1977,10,3.680161943
78,1977,11,6.108333333
79,1977,12,5.28340081
80,1978,1,5.406639004
81,1978,2,4.113122172
82,1978,3,4.65560166
83,1978,4,5.861924686
84,1978,5,5.089430894
85,1978,6,5.860169492
86,1978,7,5.587755102
87,1978,8,6.346774194
88,1978,9,5.9375
89,1978,10,5.834677419
90,1978,11,5.038297872
91,1978,12,5.548117155
92,1979,1,4.614754098
93,1979,2,5.384615385
94,1979,3,4.064377682
95,1979,4,5.943965517
96,1979,5,5.428571429
97,1979,6,5.616033755
98,1979,7,4.463709677
99,1979,8,4.794238683
100,1979,9,4.936170213
101,1979,10,3.668016194
102,1979,11,4.213389121
103,1979,12,4.540650407
104,1980,1,5.444444444
105,1980,2,4.852173913
106,1980,3,4.995918367
107,1980,4,5.230125523
108,1980,5,5.266129032
109,1980,6,5.741666667
110,1980,7,4.975806452
111,1980,8,3.774193548
112,1980,9,4.1625
113,1980,10,5.14516129
114,1980,11,4.422594142
115,1980,12,5.443089431
116,1981,1,6.265822785
117,1981,2,4.133333333
118,1981,3,3.939271255
119,1981,4,5.438053097
120,1981,5,5.983673469
121,1981,6,5.441176471
122,1981,7,6.137096774
123,1981,8,5.383064516
124,1981,9,4.305439331
125,1981,10,3.766129032
126,1981,11,4.033472803
127,1981,12,4.653225806
128,1982,1,4.306451613
129,1982,2,4.214285714
130,1982,3,4.510121457
131,1982,4,5.581589958
132,1982,5,4.943319838
133,1982,6,5.220833333
134,1982,7,5.833333333
135,1982,8,5.903225806
136,1982,9,4.693069307
137,1982,10,5.170731707
138,1982,11,4.334745763
139,1982,12,4.860655738
140,1983,1,3.987854251
141,1983,2,6.004545455
142,1983,3,5.137651822
143,1983,4,5.281512605
144,1983,5,6
145,1983,6,6.175
146,1983,7,6.423387097
147,1983,8,6.234817814
148,1983,9,6.635983264
149,1983,10,5.681451613
150,1983,11,6.058823529
151,1983,12,4.919354839
152,1984,1,4.92244898
153,1984,2,3.431718062
154,1984,3,4.506072874
155,1984,4,4.104166667
156,1984,5,6.584677419
157,1984,6,5.079831933
158,1984,7,5.975708502
159,1984,8,6.326530612
160,1984,9,4.520833333
161,1984,10,3.620967742
162,1984,11,4.325
163,1984,12,3.967213115
164,1985,1,5.534979424
165,1985,2,4.506726457
166,1985,3,5.103286385
167,1985,4,4.897590361
168,1985,5,5.741496599
169,1985,6,5.751724138
170,1985,7,4.710784314
171,1985,8,4.178137652
172,1985,9,4.848739496
173,1985,10,4.10373444
174,1985,11,3.890350877
175,1985,12,4.611607143
176,1986,1,5.655502392
177,1986,2,5.731132075
178,1986,3,4.330645161
179,1986,4,5.907172996
180,1986,5,6.004048583
181,1986,6,6.119170984
182,1986,7,5.373737374
183,1986,8,5.205240175
184,1986,9,4.765957447
185,1986,10,5.36437247
186,1986,11,5.025
187,1986,12,5.10483871
188,1987,1,6.31300813
189,1987,2,5.054794521
190,1987,3,4.298387097
191,1987,4,5.1375
192,1987,5,6.733606557
193,1987,6,6.2875
194,1987,7,6.10483871
195,1987,8,4.797413793
196,1987,9,4.377659574
197,1987,10,4.812244898
198,1987,11,5.470833333
199,1987,12,5.556451613
200,1988,1,5.431451613
201,1988,2,6.547413793
202,1988,3,5.736111111
203,1988,4,3.908333333
204,1988,5,5.439516129
205,1988,6,5.545833333
206,1988,7,5.526315789
207,1988,8,5.721774194
208,1988,9,4.383333333
209,1988,10,4.274193548
210,1988,11,5.029166667
211,1988,12,5.141129032
212,1989,1,4.540322581
213,1989,2,3.660714286
214,1989,3,4.246963563
215,1989,4,3.1125
216,1989,5,6.10483871
217,1989,6,6.154166667
218,1989,7,6.491935484
219,1989,8,6.092741935
220,1989,9,5.508333333
221,1989,10,4.572580645
222,1989,11,5.283333333
223,1989,12,5.633064516
224,1990,1,4.810483871
225,1990,2,4.5625
226,1990,3,4.108870968
227,1990,4,4.754166667
228,1990,5,5.834677419
229,1990,6,5.570833333
230,1990,7,4.915322581
231,1990,8,5.294354839
232,1990,9,5.704166667
233,1990,10,5.399193548
234,1990,11,5.95
235,1990,12,5.245967742
236,1991,1,5.443548387
237,1991,2,5.78125
238,1991,3,4.157258065
