,year,month,wind
0,1958,1,38.27419355
1,1958,2,21.19642857
2,1958,3,38.29959514
3,1958,4,33.51666667
4,1958,5,16.8266129
5,1958,6,30.1375
6,1958,7,21.76612903
7,1958,8,14.06048387
8,1958,9,17.07083333
9,1958,10,33.00403226
10,1958,11,32.57083333
11,1958,12,30.21774194
12,1959,1,16.72177419
13,1959,2,31.10714286
14,1959,3,21.64516129
15,1959,4,5.758333333
16,1959,5,20.85887097
17,1959,6,35.5625
18,1959,7,39.01612903
19,1959,8,27.41532258
20,1959,9,31.05
21,1959,10,29
22,1959,11,31.14583333
23,1959,12,30.35080645
24,1960,1,25.1504065
25,1960,2,44.22844828
26,1960,3,24.11693548
27,1960,4,29.26666667
28,1960,5,19.12903226
29,1960,6,16.19583333
30,1960,7,22.8266129
31,1960,8,23.31048387
32,1960,9,24.47916667
33,1960,10,25.29032258
34,1960,11,20.09166667
35,1960,12,26.16129032
36,1961,1,37.33870968
37,1961,2,27.54464286
38,1961,3,25.45967742
39,1961,4,11.97916667
40,1961,5,26.89112903
41,1961,6,19.95
42,1961,7,34.56048387
43,1961,8,34.75806452
44,1961,9,33.42083333
45,1961,10,36.75806452
46,1961,11,45.39166667
47,1961,12,28.26612903
48,1962,1,33.28629032
49,1962,2,38.87387387
50,1962,3,24.27419355
51,1962,4,16.33333333
52,1962,5,28.70967742
53,1962,6,30.48333333
54,1962,7,24.63306452
55,1962,8,17.02419355
56,1962,9,30.275
57,1962,10,27.10483871
58,1962,11,30.4875
59,1962,12,46.25403226
60,1963,1,36.13709677
61,1963,2,20.21875
62,1963,3,28.56451613
63,1963,4,39.07983193
64,1963,5,29.38709677
65,1963,6,28.0875
66,1963,7,29.54435484
67,1963,8,20.44758065
68,1963,9,39.08333333
69,1963,10,38.56451613
70,1963,11,28.68333333
71,1963,12,32.2983871
72,1964,1,34.93145161
73,1964,2,31.22077922
74,1964,3,31.30645161
75,1964,4,16.30416667
76,1964,5,21.27016129
77,1964,6,34.60669456
78,1964,7,41.24193548
79,1964,8,35.81451613
80,1964,9,14.94583333
81,1964,10,37.12096774
82,1964,11,35.45
83,1964,12,47.06048387
84,1965,1,32.8266129
85,1965,2,46.32589286
86,1965,3,20.13306452
87,1965,4,21.3625
88,1965,5,21.5483871
89,1965,6,29.47083333
90,1965,7,35.76612903
91,1965,8,35.59274194
92,1965,9,17.06666667
93,1965,10,28.90322581
94,1965,11,53.64893617
95,1965,12,13.62348178
96,1966,1,31.98790323
97,1966,2,30.31213873
98,1966,3,20.25403226
99,1966,4,27.50833333
100,1966,5,14.42741935
101,1966,6,33.94583333
102,1966,7,27.59677419
103,1966,8,19.24596774
104,1966,9,25.0375
105,1966,10,24.27822581
106,1966,11,39.4875
107,1966,12,30.70564516
108,1967,1,15.30241935
109,1967,2,28.15625
110,1967,3,19.27419355
111,1967,4,27.76666667
112,1967,5,19.36290323
113,1967,6,37.71666667
114,1967,7,39
115,1967,8,30.63709677
116,1967,9,25.94166667
117,1967,10,30.72177419
118,1967,11,31.68333333
119,1967,12,31.72983871
120,1968,1,25.7983871
121,1968,2,23.06896552
122,1968,3,21.77419355
123,1968,4,21.70416667
124,1968,5,15.4516129
125,1968,6,28.64583333
126,1968,7,38.93548387
127,1968,8,30.48790323
128,1968,9,24.02916667
129,1968,10,18.79032258
130,1968,11,13.99166667
131,1968,12,24.02822581
132,1969,1,16.91129032
133,1969,2,11.65178571
134,1969,3,19.81854839
135,1969,4,25.17916667
136,1969,5,24.08467742
137,1969,6,22.725
138,1969,7,31.91935484
139,1969,8,16.52822581
140,1969,9,27.525
141,1969,10,32.35887097
142,1969,11,41.08333333
143,1969,12,29.875
144,1970,1,36.39516129
145,1970,2,30.01785714
146,1970,3,27.58870968
147,1970,4,17.70833333
148,1970,5,18.27419355
149,1970,6,32.05
150,1970,7,25.94354839
151,1970,8,26.88306452
152,1970,9,20.2625
153,1970,10,27.00806452
154,1970,11,23.18333333
155,1970,12,36.43548387
156,1971,1,32.18446602
157,1971,2,40.75225225
158,1971,3,16.11290323
159,1971,4,20.11666667
160,1971,5,26.0483871
161,1971,6,22.78333333
162,1971,7,28.61133603
163,1971,8,30.75403226
164,1971,9,23
165,1971,10,28.91129032
166,1971,11,24.725
167,1971,12,44.40725806
168,1972,1,37.28629032
169,1972,2,26.70258621
170,1972,3,46.44758065
171,1972,4,29.25
172,1972,5,28.42741935
173,1972,6,44.58333333
174,1972,7,39.90725806
175,1972,8,36.88306452
176,1972,9,28.46666667
177,1972,10,46.37903226
178,1972,11,42.65833333
179,1972,12,28.21862348
180,1973,1,34.68145161
181,1973,2,28.52232143
182,1973,3,41.46774194
183,1973,4,18.52083333
184,1973,5,27.30645161
185,1973,6,29.68333333
186,1973,7,41.48178138
187,1973,8,25.55833333
188,1973,9,26.21666667
189,1973,10,30.13821138
190,1973,11,28.4375
191,1973,12,25.6194332
192,1974,1,66.55645161
193,1974,2,46.45982143
194,1974,3,30.70564516
195,1974,4,20.89583333
196,1974,5,26.99596774
197,1974,6,33.49166667
198,1974,7,29.56451613
199,1974,8,25.83064516
200,1974,9,22.27916667
201,1974,10,40.03629032
202,1974,11,46.40833333
203,1974,12,36.65587045
204,1975,1,21.99193548
205,1975,2,30.59375
206,1975,3,45.40725806
207,1975,4,24.00416667
208,1975,5,27.72580645
209,1975,6,35.60416667
210,1975,7,38.30645161
211,1975,8,35.8582996
212,1975,9,30.1625
213,1975,10,23.68951613
214,1975,11,35.56066946
215,1975,12,34.27016129
216,1976,1,44.85080645
217,1976,2,44.2887931
218,1976,3,52.52822581
219,1976,4,33.00416667
220,1976,5,30.97983871
221,1976,6,30.2875
222,1976,7,35.67346939
223,1976,8,39.35483871
224,1976,9,25.6625
225,1976,10,51.04032258
226,1976,11,37.74583333
227,1976,12,43.88709677
228,1977,1,34.94354839
229,1977,2,25.47321429
230,1977,3,34.53629032
231,1977,4,12.87083333
232,1977,5,34.7983871
233,1977,6,27.65
234,1977,7,43.10887097
235,1977,8,36.39361702
236,1977,9,35.6625
237,1977,10,24.61693548
238,1977,11,28.84583333
239,1977,12,37.46370968
240,1978,1,38.26612903
241,1978,2,35.625
242,1978,3,28.50806452
243,1978,4,37.45606695
244,1978,5,35.16935484
245,1978,6,35.58333333
246,1978,7,38.75
247,1978,8,42.25806452
248,1978,9,36.625
249,1978,10,54.64112903
250,1978,11,30.875
251,1978,12,31.24193548
252,1979,1,45.66801619
253,1979,2,38.57142857
254,1979,3,54.16532258
255,1979,4,30.34188034
256,1979,5,21.18942731
257,1979,6,37.43497758
258,1979,7,37.44939271
259,1979,8,38.42741935
260,1979,9,35.75
261,1979,10,31.25506073
262,1979,11,38.52941176
263,1979,12,47.56504065
264,1980,1,25.24193548
265,1980,2,39.31034483
266,1980,3,37.54032258
267,1980,4,41.50416667
268,1980,5,21.33064516
269,1980,6,35.20833333
270,1980,7,47.91129032
271,1980,8,28.50202429
272,1980,9,22.875
273,1980,10,37.94354839
274,1980,11,32
275,1980,12,15.56756757
276,1981,1,19.89247312
277,1981,2,43.71257485
278,1981,3,18.91891892
279,1981,4,19.83050847
280,1981,5,25.65217391
281,1981,6,16.66666667
282,1981,7,12.53731343
283,1981,8,10
284,1981,9,48.03030303
285,1981,10,40.14492754
286,1981,11,27.94444444
287,1981,12,28.06451613
288,1982,1,29.35483871
289,1982,2,59.70238095
290,1982,3,32.75675676
291,1982,4,15.40223464
292,1982,5,12.41935484
293,1982,6,22.12290503
294,1982,7,14.83870968
295,1982,8,28.31683168
296,1982,9,25.72164948
297,1982,10,59.42473118
298,1982,11,35.77777778
299,1982,12,30.53763441
300,1983,1,82.16216216
301,1983,2,33.51190476
302,1983,3,57.09677419
303,1983,4,35.66666667
304,1983,5,17.95698925
305,1983,6,23.05555556
306,1983,7,29.7311828
307,1983,8,15.48387097
308,1983,9,24.11111111
309,1983,10,31.55913978
310,1983,11,40.94444444
311,1983,12,31.88172043
312,1984,1,47.63736264
313,1984,2,48.69047619
314,1984,3,53.5483871
315,1984,4,57.05555556
316,1984,5,33.70967742
317,1984,6,19.72067039
318,1984,7,13.62162162
319,1984,8,29.03225806
320,1984,9,30.27777778
321,1984,10,47.3655914
322,1984,11,39.83240223
323,1984,12,68.38709677
324,1985,1,34.30601093
325,1985,2,24.4251497
326,1985,3,27.46236559
327,1985,4,20.23333333
328,1985,5,28.56216216
329,1985,6,12.02222222
330,1985,7,32
331,1985,8,18.04918033
332,1985,9,25.78695652
333,1985,10,48.09726434
334,1985,11,36.81731282
335,1985,12,25.85276903
336,1986,1,35.74309794
337,1986,2,28.23692937
338,1986,3,40.32177798
339,1986,4,56.95560264
340,1986,5,35.37621237
341,1986,6,40.26856516
342,1986,7,23.95211071
343,1986,8,29.42979127
344,1986,9,40.0787037
345,1986,10,63.17261739
346,1986,11,58.6474538
347,1986,12,74.76866599
348,1987,1,33.04595016
349,1987,2,42.62820955
350,1987,3,54.7951505
351,1987,4,48.90829632
352,1987,5,24.47069147
353,1987,6,33.90740741
354,1987,7,27.71407102
355,1987,8,24.35098177
356,1987,9,46.51035533
357,1987,10,46.07017298
358,1987,11,34.02085084
359,1987,12,45.13199614
360,1988,1,34.20315485
361,1988,2,43.04696346
362,1988,3,32.95707014
363,1988,4,28.97265545
364,1988,5,41.46627312
365,1988,6,39.9553288
366,1988,7,37.80843022
367,1988,8,31.19459459
368,1988,9,41.09737256
369,1988,10,43.32911548
370,1988,11,34.80950413
371,1988,12,40.2416589
372,1989,1,50.04206199
373,1989,2,52.44718845
374,1989,3,48.68640351
375,1989,4,30.24662586
376,1989,5,35.96365685
377,1989,6,32.59011794
378,1989,7,35.45553556
379,1989,8,52.08232356
380,1989,9,37.59873737
381,1989,10,33.00796851
382,1989,11,36.86969138
383,1989,12,33.04605298
384,1990,1,64.96907994
385,1990,2,50.56901769
386,1990,3,40.62121034
387,1990,4,38.82646648
388,1990,5,30.40664913
389,1990,6,23.73595506
390,1990,7,17.60752688
391,1990,8,23.25268817
392,1990,9,30.36666667
393,1990,10,39.83783784
394,1990,11,28.42458101
395,1990,12,54.95698925
396,1991,1,49.87027027
397,1991,2,22.4491018
398,1991,3,44.09836066
399,1991,4,38.36111111
400,1991,5,36.52150538
401,1991,6,21.38888889
402,1991,7,18.40860215
403,1991,8,30.63978495
404,1991,9,42.13888889
405,1991,10,48.83243243
406,1991,11,66.51111111
407,1991,12,37.81182796
408,1992,1,34.25268817
409,1992,2,54.29479769
410,1992,3,37.38378378
411,1992,4,22.8
412,1992,5,29.17204301
413,1992,6,43.50837989
414,1992,7,16.59139785
415,1992,8,32.34946237
416,1992,9,28.67222222
417,1992,10,42.33333333
418,1992,11,71.8
419,1992,12,53.53513514
420,1993,1,52.35135135
421,1993,2,34.33928571
422,1993,3,72.14673913
423,1993,4,45.78651685
424,1993,5,35.70810811
425,1993,6,18.77653631
426,1993,7,15.83040936
427,1993,8,22.175
428,1993,9,14.7079646
429,1993,10,33.84773663
430,1993,11,53.37668161
431,1993,12,64.30252101
432,1994,1,47.8
433,1994,2,63.375
434,1994,3,56.6557377
435,1994,4,64.87234043
436,1994,5,36.45967742
437,1994,6,17.35564854
438,1994,7,17.17408907
439,1994,8,23.55870445
440,1994,9,30.73160173
441,1994,10,34.1417004
442,1994,11,32.84166667
443,1994,12,38.54693878
444,1995,1,65.3699187
445,1995,2,27.5625
446,1995,3,39.85080645
447,1995,4,24.80508475
448,1995,5,16.68312757
449,1995,6,26.76068376
450,1995,7,22.74796748
451,1995,8,19.85483871
452,1995,9,23.6835443
453,1995,10,41.24596774
454,1995,11,26.12083333
455,1995,12,39.20816327
456,1996,1,41.89473684
457,1996,2,62.07758621
458,1996,3,49.82591093
459,1996,4,45.96202532
460,1996,5,35.98380567
461,1996,6,11.79237288
462,1996,7,30.29959514
463,1996,8,23.87096774
464,1996,9,52.34309623
465,1996,10,65.94758065
466,1996,11,34.76666667
467,1996,12,38.06854839
468,1997,1,52.85483871
469,1997,2,75.35714286
470,1997,3,35.66935484
471,1997,4,39.11666667
472,1997,5,13.15322581
473,1997,6,29.90756303
474,1997,7,33.70445344
475,1997,8,30.88617886
476,1997,9,35.62343096
477,1997,10,41.39516129
478,1997,11,29.03361345
479,1997,12,41.72357724
480,1998,1,51.68421053
481,1998,2,75.36651584
482,1998,3,39.30487805
483,1998,4,18.91666667
484,1998,5,35.91532258
485,1998,6,27.07531381
486,1998,7,22.24291498
487,1998,8,23
488,1998,9,28.28991597
489,1998,10,37.86178862
490,1998,11,60.41422594
491,1998,12,48.01632653
492,1999,1,40.92307692
493,1999,2,61.86607143
494,1999,3,42.45306122
495,1999,4,35.24686192
496,1999,5,56.87096774
497,1999,6,35.7375
498,1999,7,18.21721311
499,1999,8,24.61290323
500,1999,9,38.24166667
501,1999,10,47.05241935
502,1999,11,51.55648536
503,1999,12,39.68548387
504,2000,1,39.84166667
505,2000,2,53.20982143
506,2000,3,40.2780083
507,2000,4,18.59307359
508,2000,5,41.52697095
509,2000,6,12.97058824
510,2000,7,19.33333333
511,2000,8,22.21774194
512,2000,9,32.37021277
513,2000,10,48.28163265
514,2000,11,43.69747899
515,2000,12,33.02822581
516,2001,1,35.05020921
517,2001,2,32.38116592
518,2001,3,41.92213115
519,2001,4,25.7125
520,2001,5,30.54285714
521,2001,6,23.22268908
522,2001,7,24.28455285
523,2001,8,27.90456432
524,2001,9,28.0125523
525,2001,10,40.951417
526,2001,11,46.84931507
527,2001,12,45.43971631
528,2002,1,38.04471545
529,2002,2,41.74439462
530,2002,3,29.47983871
531,2002,4,41.79583333
532,2002,5,30.10144179
533,2002,6,29.88601499
534,2002,7,41.25786892
535,2002,8,38.00382094
536,2002,9,29.99395194
537,2002,10,36.08056896
538,2002,11,51.20846657
539,2002,12,42.75645161
540,2003,1,32.3047966
541,2003,2,46.15182148
542,2003,3,52.8803741
543,2003,4,37.99053614
544,2003,5,23.26746777
545,2003,6,26.21885591
546,2003,7,33.87470057
547,2003,8,35.06891275
548,2003,9,41.87973375
549,2003,10,34.31668544
550,2003,11,64.59454578
551,2003,12,38.81911144
552,2004,1,65.62108336
553,2004,2,34.52695542
554,2004,3,47.63107594
555,2004,4,57.59570311
556,2004,5,47.81503684
557,2004,6,32.91044917
558,2004,7,34.50257979
559,2004,8,27.40460861
560,2004,9,58.3246847
561,2004,10,31.20325203
562,2004,11,44.3178257
563,2004,12,44.57602601
564,2005,1,71.54294278
565,2005,2,35.77280564
566,2005,3,38.829132
567,2005,4,40.08328963
568,2005,5,33.05321042
569,2005,6,28.79146697
570,2005,7,28.56854839
571,2005,8,41.67653277
572,2005,9,35.48028169
573,2005,10,44.69502522
574,2005,11,38.04765336
575,2005,12,46.075747
576,2006,1,55.208932
577,2006,2,53.22540818
578,2006,3,45.88527626
579,2006,4,46.34499898
580,2006,5,40.27113436
581,2006,6,33.41631061
582,2006,7,32.63687449
583,2006,8,32.45131712
584,2006,9,34.90644529
585,2006,10,43.15276907
586,2006,11,42.23884501
587,2006,12,55.10299956
588,2007,1,38.55407493
589,2007,2,36.84865985
590,2007,3,72.66094584
591,2007,4,23.8593483
592,2007,5,41.87706026
593,2007,6,26.6486357
594,2007,7,28.55392736
