,year,month,cloud_mean(index)
0,1958,1,4.090517241
1,1958,2,5.009009009
2,1958,3,5.975103734
3,1958,4,4.683982684
4,1958,5,4.222672065
5,1958,6,4.687763713
6,1958,7,4.109649123
7,1958,8,3.719148936
8,1958,9,7.24789916
9,1958,10,6.53877551
10,1958,11,7.025751073
11,1958,12,5.16872428
12,1959,1,4.49137931
13,1959,2,6.231182796
14,1959,3,6.722222222
15,1959,4,4.235294118
16,1959,5,6.446721311
17,1959,6,4.469827586
18,1959,7,4.9004329
19,1959,8,3.716666667
20,1959,9,6.798165138
21,1959,10,6.7593361
22,1959,11,5.668122271
23,1959,12,6.933920705
24,1960,1,5.657894737
25,1960,2,3.976744186
26,1960,3,5.703056769
27,1960,4,4.647826087
28,1960,5,6.29218107
29,1960,6,5.551724138
30,1960,7,3.234042553
31,1960,8,5.421487603
32,1960,9,6.423728814
33,1960,10,5.910638298
34,1960,11,5.979079498
35,1960,12,6.264317181
36,1961,1,6.282157676
37,1961,2,6.220657277
38,1961,3,5.021551724
39,1961,4,5.230434783
40,1961,5,5.230769231
41,1961,6,4.669491525
42,1961,7,5.875518672
43,1961,8,5.477366255
44,1961,9,6.41350211
45,1961,10,5.118367347
46,1961,11,4.207964602
47,1961,12,3.570247934
48,1962,1,4.71291866
49,1962,2,4.947089947
50,1962,3,3.251012146
51,1962,4,6.77092511
52,1962,5,4.29338843
53,1962,6,4.98245614
54,1962,7,4.092827004
55,1962,8,5.093495935
56,1962,9,4.796610169
57,1962,10,6.289256198
58,1962,11,4.913419913
59,1962,12,5.103896104
60,1963,1,3.77092511
61,1963,2,4.138613861
62,1963,3,5.438914027
63,1963,4,3.819742489
64,1963,5,4.4092827
65,1963,6,5.599137931
66,1963,7,4.634146341
67,1963,8,3.745901639
68,1963,9,5.995744681
69,1963,10,6.286324786
70,1963,11,4.377777778
71,1963,12,5.847222222
72,1964,1,6.597087379
73,1964,2,5.530973451
74,1964,3,6.516908213
75,1964,4,4.952586207
76,1964,5,5.150214592
77,1964,6,3.766233766
78,1964,7,4.982978723
79,1964,8,4.226720648
80,1964,9,3.150862069
81,1964,10,6.086206897
82,1964,11,5.382978723
83,1964,12,4.034632035
84,1965,1,5.180995475
85,1965,2,5.863849765
86,1965,3,5.478991597
87,1965,4,5.787878788
88,1965,5,3.54893617
89,1965,6,4.744186047
90,1965,7,4.265560166
91,1965,8,5.016528926
92,1965,9,5.965367965
93,1965,10,6.707207207
94,1965,11,3.675105485
95,1965,12,5.483193277
96,1966,1,4.261410788
97,1966,2,4.053571429
98,1966,3,5.765
99,1966,4,5.206008584
100,1966,5,5.687763713
101,1966,6,4.965065502
102,1966,7,4.929752066
103,1966,8,4.462809917
104,1966,9,4.857740586
105,1966,10,5.77016129
106,1966,11,3.76
107,1966,12,4.953974895
108,1967,1,6.264573991
109,1967,2,6.053398058
110,1967,3,4.198237885
111,1967,4,5.151960784
112,1967,5,5.210084034
113,1967,6,6.174672489
114,1967,7,3.853448276
115,1967,8,5.61440678
116,1967,9,4.545851528
117,1967,10,5.710526316
118,1967,11,5.232876712
119,1967,12,3.828828829
120,1968,1,6.066079295
121,1968,2,4.672985782
122,1968,3,5.99543379
123,1968,4,4.31441048
124,1968,5,6.07860262
125,1968,6,4.259414226
126,1968,7,4.899122807
127,1968,8,4.640816327
128,1968,9,6.08583691
129,1968,10,4.108870968
130,1968,11,6.203463203
131,1968,12,5.659482759
132,1969,1,4.107758621
133,1969,2,3.641414141
134,1969,3,4.25
135,1969,4,6.03271028
136,1969,5,4.769230769
137,1969,6,6.583690987
138,1969,7,4.540772532
139,1969,8,6.654008439
140,1969,9,4.9625
141,1969,10,5.465306122
142,1969,11,4.04845815
143,1969,12,4.962025316
144,1970,1,5.563786008
145,1970,2,5.973958333
146,1970,3,5.435406699
147,1970,4,4.718181818
148,1970,5,6.461538462
149,1970,6,6.287610619
150,1970,7,4.726141079
151,1970,8,5.539419087
152,1970,9,4.948051948
153,1970,10,4.512295082
154,1970,11,4.850220264
155,1970,12,5.557939914
156,1971,1,5.211009174
157,1971,2,4.68115942
158,1971,3,5
159,1971,4,4.438679245
160,1971,5,5.3375
161,1971,6,4.049107143
162,1971,7,3.05785124
163,1971,8,4.091286307
164,1971,9,4.708860759
165,1971,10,5.665322581
166,1971,11,5.083682008
167,1971,12,5.187234043
168,1972,1,6.828947368
169,1972,2,5.760180995
170,1972,3,4.761061947
171,1972,4,5.530434783
172,1972,5,6.748953975
173,1972,6,5.800865801
174,1972,7,4.426724138
175,1972,8,4.724696356
176,1972,9,5.739495798
177,1972,10,4.459677419
178,1972,11,5.358333333
179,1972,12,5.87966805
180,1973,1,6.154867257
181,1973,2,5.438502674
182,1973,3,5.119834711
183,1973,4,5.281818182
184,1973,5,4.596638655
185,1973,6,3.795555556
186,1973,7,5.493333333
187,1973,8,4.162601626
188,1973,9,5.58974359
189,1973,10,5.624489796
190,1973,11,5.310344828
191,1973,12,5.239316239
192,1974,1,4.849372385
193,1974,2,4.885365854
194,1974,3,5.819552922
195,1974,4,6.127882338
196,1974,5,5.058279846
197,1974,6,3.754787058
198,1974,7,3.245475113
199,1974,8,3.686476666
200,1974,9,5.271815555
201,1974,10,4.882874494
202,1974,11,5.42249726
203,1974,12,4.556721311
204,1975,1,4.250949307
205,1975,2,7.143778802
206,1975,3,4.296956635
207,1975,4,5.265206393
208,1975,5,5.496666667
209,1975,6,5.887914016
210,1975,7,4.435124667
211,1975,8,5.041712229
212,1975,9,4.311659514
213,1975,10,5.753714506
214,1975,11,5.66951567
215,1975,12,4.619098712
216,1976,1,4.528937427
217,1976,2,4.951207772
218,1976,3,3.981799839
219,1976,4,4.635775862
220,1976,5,3.997510373
221,1976,6,5.350369842
222,1976,7,4.994134534
223,1976,8,5.414646344
224,1976,9,3.950573549
225,1976,10,5.301008933
226,1976,11,5.400163666
227,1976,12,4.410927009
228,1977,1,3.415878378
229,1977,2,5.297435897
230,1977,3,4.051076331
231,1977,4,4.792061505
232,1977,5,5.026864986
233,1977,6,5.63886832
234,1977,7,4.763978473
235,1977,8,4.742452537
236,1977,9,5.228527256
237,1977,10,5.515811133
238,1977,11,5.149675972
239,1977,12,4.149582221
240,1978,1,5.844294239
241,1978,2,3.970492166
242,1978,3,5.064516129
243,1978,4,4.706614061
244,1978,5,5.55189305
245,1978,6,5.637015782
246,1978,7,4.209921857
247,1978,8,5.99941452
248,1978,9,5.23983704
249,1978,10,4.975646259
250,1978,11,5.700006153
251,1978,12,5.243465799
252,1979,1,4.725795971
253,1979,2,5.420431894
254,1979,3,4.127389585
255,1979,4,3.992045455
256,1979,5,3.660108025
257,1979,6,5.428383211
258,1979,7,3.975895317
259,1979,8,3.960774059
260,1979,9,3.518504682
261,1979,10,5.028261809
262,1979,11,6.695250828
263,1979,12,5.152829773
264,1980,1,5.194437973
265,1980,2,5.432527865
266,1980,3,4.370566143
267,1980,4,4.934116445
268,1980,5,5.451737452
269,1980,6,4.70227506
270,1980,7,5.432545595
271,1980,8,3.35647541
272,1980,9,4.410696898
273,1980,10,6.054337088
274,1980,11,4.812117398
275,1980,12,4.224025974
276,1981,1,4.620390071
277,1981,2,3.618896714
278,1981,3,3.948701491
279,1981,4,4.934390771
280,1981,5,5.88034188
281,1981,6,5.135849877
282,1981,7,3.975928866
283,1981,8,4.573996466
284,1981,9,4.412533496
285,1981,10,4.495747717
286,1981,11,4.443943137
287,1981,12,2.965082361
288,1982,1,3.386363636
289,1982,2,6.752075472
290,1982,3,3.45297271
291,1982,4,4.34621802
292,1982,5,3.064124597
293,1982,6,5.832314855
294,1982,7,3.605319149
295,1982,8,4.756862384
296,1982,9,4.170356443
297,1982,10,6.114746604
298,1982,11,5.206160365
299,1982,12,5.889797232
300,1983,1,4.788784294
301,1983,2,5.418441452
302,1983,3,4.471960553
303,1983,4,4.88185654
304,1983,5,5.46107337
305,1983,6,5.424565659
306,1983,7,4.906314345
307,1983,8,5.092099567
308,1983,9,4.788005579
