,0,1,2
0,1958,1,647.0
1,1958,2,637.0
2,1958,3,949.0
3,1958,4,487.0
4,1958,5,179.0
5,1958,6,94.0
6,1958,7,524.0
7,1958,8,88.0
8,1958,9,2328.0
9,1958,10,1486.0
10,1958,11,840.0
11,1958,12,1065.0
12,1959,1,627.0
13,1959,2,2331.0
14,1959,3,2078.0
15,1959,4,122.0
16,1959,5,1051.0
17,1959,6,60.0
18,1959,7,492.0
19,1959,8,382.0
20,1959,9,2316.0
21,1959,10,2174.0
22,1959,11,559.0
23,1959,12,861.0
24,1960,1,903.0
25,1960,2,257.0
26,1960,3,1879.0
27,1960,4,256.0
28,1960,5,1315.0
29,1960,6,283.0
30,1960,7,6.0
31,1960,8,627.0
32,1960,9,1040.0
33,1960,10,391.0
34,1960,11,1117.0
35,1960,12,956.0
36,1961,1,1038.0
37,1961,2,372.0
38,1961,3,1288.0
39,1961,4,469.0
40,1961,5,448.0
41,1961,6,6.0
42,1961,7,835.0
43,1961,8,424.0
44,1961,9,414.0
45,1961,10,769.0
46,1961,11,539.0
47,1961,12,138.0
48,1962,1,922.0
49,1962,2,486.0
50,1962,3,230.0
51,1962,4,1296.0
52,1962,5,262.0
53,1962,6,468.0
54,1962,7,8.0
55,1962,8,1101.0
56,1962,9,455.0
57,1962,10,574.0
58,1962,11,617.0
59,1962,12,896.0
60,1963,1,2224.0
61,1963,2,948.0
62,1963,3,1376.0
63,1963,4,430.0
64,1963,5,322.0
65,1963,6,769.0
66,1963,7,616.0
67,1963,8,76.0
68,1963,9,1012.0
69,1963,10,888.0
70,1963,11,647.0
71,1963,12,1430.0
72,1964,1,2752.0
73,1964,2,1396.0
74,1964,3,3668.0
75,1964,4,422.0
76,1964,5,663.0
77,1964,6,727.0
78,1964,7,879.0
79,1964,8,161.0
80,1964,9,339.0
81,1964,10,1294.0
82,1964,11,1413.0
83,1964,12,772.0
84,1965,1,1584.0
85,1965,2,2261.0
86,1965,3,446.0
87,1965,4,1015.0
88,1965,5,169.0
89,1965,6,602.0
90,1965,7,70.0
91,1965,8,181.0
92,1965,9,630.0
93,1965,10,1433.0
94,1965,11,846.0
