,time,sst_4270,sst_4360,sst_4216,sst_4339,sst_34320,,4270,4360,4216,4339,34320
0,1850-01-01,1.345750041,2.647823635,-0.808500037,-1.43325007,-1.799000091,,£¨61.1£¬ 314.6£©,£¨65.4£¬ 322.2£©,£¨69.1£¬ 309.0),"(70.3, 338.4)","(76.5, 341.6)"
1,1850-02-01,1.279625058,2.337294233,-1.065250069,-1.435125068,-1.804444551,,,,,,
2,1850-03-01,1.318375051,1.766470708,-0.812250033,-1.582375094,-1.813111199,,,,,,
3,1850-04-01,1.183375061,1.474882395,-0.02775,-1.555250064,-1.809777856,,,,,,
4,1850-05-01,1.788125075,2.124764778,0.818500012,-1.416125059,-1.787444525,,,,,,
5,1850-06-01,3.168375134,3.87794137,1.998250097,-0.887875048,-1.726000084,,,,,,
6,1850-07-01,4.234750211,5.1473532,3.041500151,0.659000022,-1.075777829,,,,,,
7,1850-08-01,4.405875176,5.796176798,3.940750122,1.398375049,-0.699111141,,,,,,
8,1850-09-01,3.964875162,5.128941396,3.594500184,1.024000049,-0.707000038,,,,,,
9,1850-10-01,3.27000016,4.441059028,2.142000079,0.441750024,-1.256777843,,,,,,
10,1850-11-01,2.151375115,3.84864723,0.664000027,-0.580750028,-1.604111181,,,,,,
11,1850-12-01,1.704000071,3.343235437,-0.232250009,-1.304875061,-1.715333422,,,,,,
12,1851-01-01,1.657500088,3.131823701,-0.829000026,-1.426375091,-1.794111199,,,,,,
13,1851-02-01,1.490125105,2.77770602,-1.088000059,-1.431000069,-1.798333433,,,,,,
14,1851-03-01,1.398375072,2.122176598,-0.829250038,-1.596000075,-1.80833341,,,,,,
15,1851-04-01,1.45787508,1.796411854,-0.061500004,-1.564375088,-1.804555641,,,,,,
16,1851-05-01,1.878625065,2.310294241,0.807250008,-1.428875066,-1.785888977,,,,,,
17,1851-06-01,3.429750144,3.780470743,1.882750064,-0.866625059,-1.724444535,,,,,,
18,1851-07-01,4.579250127,5.398235545,3.28575021,0.532500016,-1.078333378,,,,,,
19,1851-08-01,4.969125271,6.410765003,4.058000326,1.495375067,-0.620888911,,,,,,
20,1851-09-01,4.319250166,5.518706125,3.460250199,0.949750043,-0.718444481,,,,,,
21,1851-10-01,2.869000107,4.321000211,1.90200007,0.306875015,-1.248888943,,,,,,
22,1851-11-01,1.75512512,3.606059004,0.508000024,-0.841250034,-1.590555602,,,,,,
23,1851-12-01,1.563375056,3.035235454,-0.244750012,-1.38000007,-1.709666755,,,,,,
24,1852-01-01,1.730625086,2.927294275,-0.822750032,-1.425625056,-1.7961112,,,,,,
